Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Logistic Regression,0.9784,0.9964,1.0,0.9667,0.9822,0.955,0.9582,1.305
SVM - Linear Kernel,0.9567,0.9964,0.98,0.9536,0.9635,0.9099,0.9187,0.043
Ridge Classifier,0.9509,0.9976,0.9318,0.9809,0.9539,0.9014,0.9058,0.042
K Neighbors Classifier,0.9345,0.9755,0.9709,0.9226,0.9444,0.8649,0.8713,0.078
Extra Trees Classifier,0.8909,0.9789,0.9609,0.8712,0.9112,0.7721,0.7856,0.119
Naive Bayes,0.8263,0.8,1.0,0.7707,0.8689,0.6265,0.6779,0.043
Quadratic Discriminant Analysis,0.8263,0.9988,1.0,0.7707,0.8689,0.6265,0.6779,0.044
Random Forest Classifier,0.6348,0.984,1.0,0.6112,0.7573,0.1773,0.2603,0.133
Decision Tree Classifier,0.5649,0.5,1.0,0.5649,0.7219,0.0,0.0,0.043
Ada Boost Classifier,0.5649,0.5,1.0,0.5649,0.7219,0.0,0.0,0.043
Gradient Boosting Classifier,0.5649,0.5,1.0,0.5649,0.7219,0.0,0.0,0.071
Linear Discriminant Analysis,0.5649,0.5,1.0,0.5649,0.7219,0.0,0.0,0.044
Light Gradient Boosting Machine,0.5649,0.5,1.0,0.5649,0.7219,0.0,0.0,0.095
Dummy Classifier,0.5649,0.5,1.0,0.5649,0.7219,0.0,0.0,0.044
