iter	Passed	Remaining
0	2	2189
1	5	2753
2	9	3074
3	11	2857
4	13	2663
5	15	2560
6	17	2469
7	22	2817
8	26	2872
9	28	2774
10	29	2662
11	31	2589
12	32	2487
13	43	3030
14	45	2962
15	49	3035
16	51	2999
17	55	3017
18	57	2946
19	58	2875
20	60	2812
21	62	2773
22	64	2727
23	66	2715
24	70	2734
25	72	2727
26	74	2688
27	76	2649
28	78	2611
29	79	2577
30	81	2546
31	84	2545
32	87	2553
33	88	2522
34	90	2493
35	92	2467
36	93	2441
37	95	2418
38	101	2499
39	103	2485
40	105	2466
41	107	2446
42	109	2441
43	111	2416
44	113	2407
45	118	2456
46	120	2439
47	122	2436
48	124	2422
49	126	2406
50	128	2388
51	133	2441
52	136	2440
53	138	2429
54	140	2409
55	142	2394
56	143	2376
57	147	2392
58	149	2384
59	151	2368
60	152	2350
61	154	2334
62	155	2316
63	157	2303
64	159	2294
65	162	2302
66	164	2296
67	166	2288
68	168	2276
69	170	2270
70	172	2259
71	174	2245
72	175	2232
73	179	2252
74	181	2242
75	183	2227
76	184	2216
77	186	2201
78	187	2190
79	189	2177
80	190	2165
81	193	2167
82	196	2172
83	198	2160
84	199	2149
85	201	2140
86	202	2129
87	204	2117
88	205	2105
89	207	2100
90	211	2109
91	212	2099
92	214	2090
93	215	2081
94	217	2075
95	219	2066
96	220	2056
97	222	2045
98	226	2057
99	228	2053
100	229	2046
101	231	2040
102	233	2032
103	234	2020
104	235	2011
105	237	2002
106	240	2007
107	242	2006
108	244	1998
109	246	1994
110	248	1987
111	249	1980
112	251	1972
113	252	1964
114	254	1957
115	259	1976
116	260	1969
117	262	1961
118	263	1952
119	265	1946
120	266	1938
121	268	1932
122	269	1924
123	273	1929
124	275	1925
125	276	1920
126	278	1912
127	279	1905
128	281	1900
129	282	1892
130	284	1885
131	286	1882
132	288	1882
133	290	1879
134	292	1872
135	293	1867
136	295	1860
137	296	1854
138	298	1849
139	299	1841
140	301	1835
141	303	1834
142	305	1831
143	306	1824
144	308	1818
145	309	1811
146	311	1805
147	312	1799
148	313	1793
149	315	1789
150	317	1784
151	320	1787
152	322	1784
153	324	1780
154	325	1775
155	327	1770
156	328	1764
157	330	1760
158	332	1757
159	334	1758
160	337	1757
161	338	1752
162	340	1746
